valorN;Tempo
0;0.022255998104810715
1;0.0019419975578784943
2;0.0005560033023357391
3;0.029659997671842575
4;0.003995999693870544
5;0.007070999592542648
6;0.05817899852991104
7;0.005432002246379852
8;0.008322000503540039
9;0.0038379989564418793
10;0.0030410028994083405
11;0.0033110007643699646
12;0.0024669989943504333
13;0.007973000407218933
14;0.0037939995527267456
15;0.0026760026812553406
16;0.003965999931097031
17;0.004327002912759781
18;0.0032819993793964386
19;0.005394000560045242
20;0.005377002060413361
21;0.0050039999186992645
22;0.005270998924970627
23;0.006256997585296631
24;0.006303001195192337
25;0.0064690001308918
26;0.006852999329566956
27;0.006772998720407486
28;0.007180999964475632
29;0.00714699923992157
30;0.00751899927854538
31;0.008283000439405441
32;0.008632000535726547
33;0.009302999824285507
34;0.009227000176906586
35;0.010051000863313675
36;0.010242000222206116
37;0.01084199920296669
38;0.017508000135421753
39;0.011374998837709427
40;0.012864001095294952
41;0.012148000299930573
42;0.013136997818946838
43;0.014024000614881516
44;0.013183001428842545
45;0.013774998486042023
46;0.014488998800516129
47;0.01556599885225296
48;0.07469699904322624
49;0.017055999487638474
50;0.01694300025701523
51;0.017750997096300125
52;0.017955001443624496
53;0.01796099916100502
54;0.019012000411748886
55;0.019648000597953796
56;0.02090200036764145
57;0.02299800142645836
58;0.020541999489068985
59;0.020878002047538757
60;0.021457001566886902
61;0.021947000175714493
62;0.02282699942588806
63;0.024171002209186554
64;0.02400200068950653
65;0.02477400004863739
66;0.02527099847793579
67;0.026124000549316406
68;0.026128999888896942
69;0.028328001499176025
70;0.02932799980044365
71;0.04665699973702431
72;0.034734997898340225
73;0.034279000014066696
74;0.03479300066828728
75;0.035886000841856
76;0.037699997425079346
77;0.036813002079725266
78;0.0382240004837513
79;0.037991996854543686
80;0.038743000477552414
81;0.04070400074124336
82;0.46645500138401985
83;0.02785399928689003
84;0.027184996753931046
85;0.03524499759078026
86;0.034285999834537506
87;0.026562001556158066
88;0.024048998951911926
89;0.02714499831199646
90;0.025862999260425568
91;0.02512200176715851
92;0.026075001806020737
93;0.02600199729204178
94;0.026406999677419662
95;0.02766299992799759
96;0.0402039997279644
97;0.0521170012652874
98;0.05547400191426277
99;0.05343100056052208
100;0.05313299968838692
101;0.07785199955105782
102;0.046636998653411865
103;0.04730699956417084
104;0.0481950007379055
105;0.058069996535778046
106;0.027913998812437057
107;0.025238998234272003
108;0.025102999061346054
109;0.02602899819612503
110;0.025593001395463943
111;0.025988999754190445
112;0.025602001696825027
113;0.026092998683452606
114;0.0268389992415905
115;0.025840003043413162
116;0.030329998582601547
117;0.03454799950122833
118;0.026923999190330505
119;0.02667199820280075
120;0.028282999992370605
121;0.028181999921798706
122;0.030768997967243195
123;0.02878200262784958
124;0.029631998389959335
125;0.029853999614715576
126;0.031314000487327576
127;0.030242998152971268
128;0.031071998178958893
129;0.40815600007772446
130;0.034797001630067825
131;0.034963998943567276
132;0.03655499964952469
133;0.03472200036048889
134;0.03461799770593643
135;0.0348300002515316
136;0.035132996737957
137;0.035679999738931656
138;0.036292001605033875
139;0.03687100112438202
140;0.037759002298116684
141;0.037622999399900436
142;0.03816699981689453
143;0.03749699890613556
144;0.037846002727746964
145;0.03784999996423721
146;0.03996400162577629
147;0.03957800194621086
148;0.04057099670171738
149;0.03897099941968918
